sampleID	ai1	lst1	hrd-loh	HRD
TCGA-44-6148-01	0	0	0	0
TCGA-44-6774-01	4	6	4	14
TCGA-44-6775-01	13	6	8	27
TCGA-44-6776-01	5	5	4	14
TCGA-44-6777-01	7	1	4	12
TCGA-44-6778-01	20	10	8	38
TCGA-44-6779-01	12	10	11	33
TCGA-44-7659-01	6	3	3	12
TCGA-44-7660-01	15	11	15	41
TCGA-44-7661-01	3	2	1	6
TCGA-44-7662-01	16	10	13	39
TCGA-44-7667-01	14	16	6	36
TCGA-44-7669-01	16	11	10	37
TCGA-44-7670-01	24	15	14	53
TCGA-44-7671-01	5	3	4	12
TCGA-44-7672-01	13	8	7	28
TCGA-44-8117-01	18	11	9	38
TCGA-44-8119-01	14	12	9	35
TCGA-44-8120-01	9	3	10	22
TCGA-44-A479-01	11	11	9	31
TCGA-44-A47A-01	7	7	2	16
TCGA-44-A47B-01	7	4	3	14
TCGA-44-A47F-01	11	4	2	17
TCGA-44-A47G-01	5	14	2	21
TCGA-44-A4SS-01	13	23	8	44
TCGA-44-A4SU-01	8	8	13	29
TCGA-46-3765-01	20	12	12	44
TCGA-46-3766-01	6	5	5	16
TCGA-46-3767-01	9	10	3	22
TCGA-46-3768-01	13	6	11	30
TCGA-46-3769-01	32	30	17	79
TCGA-46-6025-01	23	33	17	73
TCGA-46-6026-01	13	11	7	31
TCGA-49-4486-01	5	2	2	9
TCGA-49-4487-01	17	9	3	29
TCGA-49-4488-01	30	13	16	59
TCGA-49-4490-01	14	8	6	28
TCGA-49-4494-01	3	6	6	15
TCGA-49-4501-01	12	9	7	28
TCGA-49-4505-01	13	12	5	30
TCGA-49-4506-01	4	1	4	9
TCGA-49-4507-01	16	13	13	42
TCGA-49-4510-01	8	6	7	21
TCGA-49-4512-01	12	9	4	25
TCGA-49-4514-01	11	13	7	31
TCGA-49-6742-01	4	2	3	9
TCGA-49-6743-01	12	10	11	33
TCGA-49-6744-01	9	8	9	26
TCGA-49-6745-01	4	3	4	11
TCGA-49-6761-01	9	7	8	24
TCGA-49-6767-01	11	9	10	30
TCGA-49-AAQV-01	15	10	12	37
TCGA-49-AAR0-01	10	9	19	38
TCGA-49-AAR2-01	6	3	10	19
TCGA-49-AAR3-01	4	7	10	21
TCGA-49-AAR4-01	7	4	10	21
TCGA-49-AAR9-01	21	15	16	52
TCGA-49-AARE-01	15	11	9	35
TCGA-49-AARN-01	6	4	10	20
TCGA-49-AARO-01	16	11	10	37
TCGA-49-AARQ-01	19	13	7	39
TCGA-49-AARR-01	0	0	0	0
TCGA-4A-A93W-01	0	0	0	0
TCGA-4A-A93X-01	0	0	0	0
TCGA-4B-A93V-01	15	11	10	36
TCGA-4C-A93U-01	2	2	2	6
TCGA-4E-A92E-01	1	0	0	1
TCGA-4G-AAZO-01	8	13	5	26
TCGA-4G-AAZT-01	5	1	5	11
TCGA-4H-AAAK-01	6	6	4	16
TCGA-4J-AA1J-01	10	7	11	28
TCGA-4K-AA1G-01	8	9	3	20
TCGA-4K-AA1H-01	2	0	4	6
TCGA-4K-AA1I-01	10	6	3	19
TCGA-4K-AAAL-01	6	6	0	12
TCGA-4L-AA1F-01	14	18	5	37
TCGA-4N-A93T-01	5	4	4	13
TCGA-4P-AA8J-01	8	8	9	25
TCGA-4R-AA8I-01	4	7	5	16
TCGA-4T-AA8H-01	2	1	0	3
TCGA-4V-A9QI-01	0	0	0	0
TCGA-4V-A9QJ-01	3	1	0	4
TCGA-4V-A9QL-01	0	1	0	1
TCGA-4V-A9QM-01	0	1	0	1
TCGA-4V-A9QN-01	3	2	3	8
TCGA-4V-A9QR-01	2	2	0	4
TCGA-4V-A9QS-01	8	13	1	22
TCGA-4V-A9QT-01	0	0	0	0
TCGA-4V-A9QU-01	0	0	0	0
TCGA-4V-A9QW-01	0	0	0	0
TCGA-4V-A9QX-01	2	1	2	5
TCGA-4W-AA9R-01	3	1	4	8
TCGA-4W-AA9S-01	3	3	1	7
TCGA-4W-AA9T-01	2	2	2	6
TCGA-4X-A9FA-01	0	0	0	0
TCGA-4X-A9FD-01	2	2	1	5
TCGA-4Z-AA7M-01	21	17	8	46
TCGA-4Z-AA7O-01	6	3	3	12
TCGA-4Z-AA7Q-01	13	13	15	41
TCGA-4Z-AA7R-01	19	22	10	51
TCGA-4Z-AA7S-01	6	3	1	10
TCGA-4Z-AA7W-01	18	22	15	55
TCGA-4Z-AA7Y-01	3	3	1	7
TCGA-4Z-AA80-01	31	23	10	64
TCGA-4Z-AA81-01	11	5	2	18
TCGA-4Z-AA82-01	9	12	2	23
TCGA-4Z-AA83-01	1	1	1	3
TCGA-4Z-AA84-01	26	27	15	68
TCGA-4Z-AA86-01	18	13	13	44
TCGA-4Z-AA87-01	22	24	8	54
TCGA-4Z-AA89-01	3	5	2	10
TCGA-50-5044-01	2	2	2	6
TCGA-50-5045-01	5	4	2	11
TCGA-50-5049-01	11	7	8	26
TCGA-50-5051-01	3	3	1	7
TCGA-50-5055-01	1	0	1	2
TCGA-50-5066-01	6	5	3	14
TCGA-50-5066-02	21	18	14	53
TCGA-50-5068-01	6	3	5	14
TCGA-50-5072-01	7	5	4	16
TCGA-50-5930-01	9	2	13	24
TCGA-50-5931-01	9	2	7	18
TCGA-50-5932-01	10	7	8	25
TCGA-50-5933-01	12	7	6	25
TCGA-50-5935-01	8	3	2	13
TCGA-50-5936-01	8	8	11	27
TCGA-50-5939-01	12	10	13	35
TCGA-50-5941-01	15	10	4	29
TCGA-50-5942-01	2	0	2	4
TCGA-50-5944-01	13	8	2	23
TCGA-50-5946-01	15	8	9	32
TCGA-50-5946-02	17	15	8	40
TCGA-50-6590-01	11	9	7	27
TCGA-50-6591-01	14	8	7	29
TCGA-50-6592-01	12	12	9	33
TCGA-50-6593-01	13	8	7	28
TCGA-50-6594-01	20	12	15	47
TCGA-50-6595-01	5	3	4	12
TCGA-50-6597-01	8	6	8	22
TCGA-50-6673-01	8	4	4	16
TCGA-50-7109-01	14	13	3	30
TCGA-50-8457-01	4	2	3	9
TCGA-50-8459-01	1	3	3	7
TCGA-50-8460-01	4	3	1	8
TCGA-51-4079-01	12	12	12	36
TCGA-51-4080-01	7	7	7	21
TCGA-51-4081-01	16	6	10	32
TCGA-52-7622-01	10	5	9	24
TCGA-52-7809-01	21	19	12	52
TCGA-52-7810-01	26	20	18	64
TCGA-52-7811-01	12	7	5	24
TCGA-52-7812-01	13	11	12	36
TCGA-53-7624-01	24	25	17	66
TCGA-53-7626-01	12	6	8	26
TCGA-53-7813-01	9	10	5	24
TCGA-53-A4EZ-01	18	9	17	44
TCGA-55-1592-01	16	19	8	43
TCGA-55-1594-01	16	7	10	33
TCGA-55-1595-01	15	16	3	34
TCGA-55-1596-01	12	6	6	24
TCGA-55-5899-01	19	10	16	45
TCGA-55-6543-01	2	1	1	4
TCGA-55-6642-01	13	14	7	34
TCGA-55-6712-01	10	11	6	27
TCGA-55-6968-01	13	11	10	34
TCGA-55-6969-01	13	15	10	38
TCGA-55-6970-01	7	4	5	16
TCGA-55-6971-01	7	8	3	18
TCGA-55-6972-01	8	7	6	21
TCGA-55-6975-01	8	6	10	24
TCGA-55-6978-01	5	2	2	9
TCGA-55-6979-01	4	4	3	11
TCGA-55-6980-01	4	1	2	7
TCGA-55-6981-01	10	7	4	21
TCGA-55-6982-01	6	4	9	19
TCGA-55-6983-01	1	1	0	2
TCGA-55-6984-01	7	2	3	12
TCGA-55-6985-01	8	9	7	24
TCGA-55-6986-01	2	4	3	9
TCGA-55-6987-01	5	7	5	17
TCGA-55-7281-01	6	1	5	12
